reg_year,total,ev_count,hybrid_count,ev_share_pct,hybrid_share_pct,zero_em_pct,ev_yoy_growth
2025,280818,10197,92547,3.63,32.96,3.63,
2026,75217,5076,24418,6.75,32.46,6.75,-50.22065313327448
